rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,2.757138129075368,13.521039872,1.5597877502441406,4.757811293675163
16,32,3686400,2.7775450030962627,12.920779264,1.5185563564300537,4.5656292938496374
64,128,14745600,2.7925871928532917,14.304092672,1.4771413803100586,4.380405851739056
